id,udise,sch_name,sch_type,sch_mgmt,lower_class,higher_class,area,status
125,28120208301,GPSTW CHINARAVIKONA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
126,28120208401,MPPS NONDRUKONDA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
127,28120208501,MPPS SAMBUGUDA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
128,28120208701,GPS PUSABADI,PRIMARY,STATE GOVT.,1,5,Rural,Active
129,28120208801,MPPS RASABADI,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
130,28120208802,MPPS SEEMALAVALASA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
131,28120208803,GPSTW SEEMALAVALASA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
132,28120208804,GPSTW SRIRANGAPADU,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Inactive
133,28120208901,MPPS TANKU,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
134,28120209001,GPSTW CHINAVANKADHARA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
135,28120209101,GPS URITI,PRIMARY,STATE GOVT.,1,5,Rural,Active
136,28120209201,MPPS JARNA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
137,28120209301,MPPS Y CHORUPALLI,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
138,28120209302,GPSTW CHORUPALLE,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
139,28120209401,GPSTW BABBIDI,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
140,28120209501,GPS GEESADA,PRIMARY,STATE GOVT.,1,5,Rural,Active
141,28120209602,MPPS ATCHABA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
